"Subject","product","Order","Gender","Region","Candy_Frequency","Jelly_Bean_Frequency","Liking_Score","Sweetness_Intensity","Flavor_Novelty"
1,"green_apple","4","Female","East Asia (e.g., China, Korea, Japan)","Less than once a month","once a month","5","4",5
1,"juicy_pear","2","Female","East Asia (e.g., China, Korea, Japan)","Less than once a month","once a month","7","5",3
1,"sunkist_lime","1","Female","East Asia (e.g., China, Korea, Japan)","Less than once a month","once a month","8","7",2
1,"mango","3","Female","East Asia (e.g., China, Korea, Japan)","Less than once a month","once a month","8","9",2
1,"matcha_milk_tea","5","Female","East Asia (e.g., China, Korea, Japan)","Less than once a month","once a month","8","5",3
2,"green_apple","5","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Less than once a month","Less than once a month","3","9",4
2,"juicy_pear","3","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Less than once a month","Less than once a month","1","9",7
2,"sunkist_lime","1","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Less than once a month","Less than once a month","7","8",4
2,"mango","2","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Less than once a month","Less than once a month","1","9",1
2,"matcha_milk_tea","4","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Less than once a month","Less than once a month","7","8",5
3,"green_apple","4","Female","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Once a week","Less than once a month","5","5",4
3,"juicy_pear","5","Female","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Once a week","Less than once a month","2","4",7
3,"sunkist_lime","3","Female","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Once a week","Less than once a month","4","6",2
3,"mango","1","Female","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Once a week","Less than once a month","7","6",4
3,"matcha_milk_tea","2","Female","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Once a week","Less than once a month","7","5",4
4,"green_apple","2","Male","United States","Once a week","Less than once a month","7","8",3
4,"juicy_pear","4","Male","United States","Once a week","Less than once a month","4","6",3
4,"sunkist_lime","5","Male","United States","Once a week","Less than once a month","7","6",3
4,"mango","3","Male","United States","Once a week","Less than once a month","6","7",4
4,"matcha_milk_tea","1","Male","United States","Once a week","Less than once a month","7","7",3
5,"green_apple","1","Female","United States","Several times a month","Less than once a month","8","7",1
5,"juicy_pear","2","Female","United States","Several times a month","Less than once a month","9","8",2
5,"sunkist_lime","4","Female","United States","Several times a month","Less than once a month","7","6",3
5,"mango","5","Female","United States","Several times a month","Less than once a month","8","8",3
5,"matcha_milk_tea","3","Female","United States","Several times a month","Less than once a month","4","7",4
6,"green_apple","3","Female","United States","Several times a week","Less than once a month","6","7",4
6,"juicy_pear","1","Female","United States","Several times a week","Less than once a month","1","7",7
6,"sunkist_lime","2","Female","United States","Several times a week","Less than once a month","7","7",2
6,"mango","4","Female","United States","Several times a week","Less than once a month","8","8",2
6,"matcha_milk_tea","5","Female","United States","Several times a week","Less than once a month","7","6",5
7,"green_apple","5","Female","United States","Once a week","Less than once a month","6","9",5
7,"juicy_pear","4","Female","United States","Once a week","Less than once a month","1","8",7
7,"sunkist_lime","2","Female","United States","Once a week","Less than once a month","3","7",7
7,"mango","1","Female","United States","Once a week","Less than once a month","7","8",5
7,"matcha_milk_tea","3","Female","United States","Once a week","Less than once a month","1","7",7
8,"green_apple","3","Male","East Asia (e.g., China, Korea, Japan)","Several times a month","I have never eaten Jelly Beans","5","6",5
8,"juicy_pear","5","Male","East Asia (e.g., China, Korea, Japan)","Several times a month","I have never eaten Jelly Beans","2","6",7
8,"sunkist_lime","4","Male","East Asia (e.g., China, Korea, Japan)","Several times a month","I have never eaten Jelly Beans","6","6",2
8,"mango","2","Male","East Asia (e.g., China, Korea, Japan)","Several times a month","I have never eaten Jelly Beans","8","6",3
8,"matcha_milk_tea","1","Male","East Asia (e.g., China, Korea, Japan)","Several times a month","I have never eaten Jelly Beans","7","7",5
9,"green_apple","5","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Several times a week","Less than once a month","5","6",3
9,"juicy_pear","3","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Several times a week","Less than once a month","3","7",6
9,"sunkist_lime","1","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Several times a week","Less than once a month","8","7",3
9,"mango","2","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Several times a week","Less than once a month","7","8",3
9,"matcha_milk_tea","4","Male","Southeast Asia (e.g., Vietnam, Philippines, Thailand)","Several times a week","Less than once a month","7","7",5
10,"green_apple","4","Female","United States","Several times a week","Several times a month","5","8",3
10,"juicy_pear","5","Female","United States","Several times a week","Several times a month","1","8",7
10,"sunkist_lime","3","Female","United States","Several times a week","Several times a month","8","7",2
10,"mango","1","Female","United States","Several times a week","Several times a month","9","8",5
10,"matcha_milk_tea","2","Female","United States","Several times a week","Several times a month","3","7",6
11,"green_apple","2","Female","East Asia (e.g., China, Korea, Japan)","Once a month","Less than once a month","7","6",1
11,"juicy_pear","4","Female","East Asia (e.g., China, Korea, Japan)","Once a month","Less than once a month","3","7",6
11,"sunkist_lime","5","Female","East Asia (e.g., China, Korea, Japan)","Once a month","Less than once a month","7","6",2
11,"mango","3","Female","East Asia (e.g., China, Korea, Japan)","Once a month","Less than once a month","7","6",2
